date,code,name,close,ma_short,ma_long,raw_momentum,risk_adj_mom,trend_up,qdii_overdev,vol_percentile
2025-05-23,510300,沪深300ETF,3.777,3.74,3.7506,0.92,0.0958,False,False,14.7
2025-05-30,518880,黄金ETF,7.369,7.3838,7.1422,3.06,0.1389,False,False,19.5
2025-05-30,510880,红利ETF,2.979,2.9562,2.9264,2.33,0.2572,True,False,19.5
2025-05-30,513500,标普500ETF,2.004,1.9819,1.9343,2.04,0.1587,True,False,19.5
2025-05-30,513180,恒生科技ETF,0.699,0.7136,0.7305,-2.02,-0.0829,False,False,19.5
2025-05-30,510300,沪深300ETF,3.748,3.7595,3.745,0.9,0.0868,False,False,19.5
2025-06-06,518880,黄金ETF,7.481,7.364,7.2057,4.38,0.212,True,False,12.5
2025-06-06,510880,红利ETF,2.981,2.974,2.9352,2.66,0.3117,True,False,12.5
2025-06-06,513500,标普500ETF,2.024,2.0023,1.9345,2.43,0.1905,True,False,12.5
2025-06-06,513180,恒生科技ETF,0.716,0.7127,0.7244,-4.1,-0.1869,False,False,12.5
2025-06-06,510300,沪深300ETF,3.775,3.7723,3.7424,0.17,0.0179,True,False,12.5
2025-06-13,518880,黄金ETF,7.588,7.401,7.2806,8.12,0.5093,True,False,4.5
2025-06-13,510880,红利ETF,2.982,2.9816,2.9438,0.61,0.0827,True,False,4.5
2025-06-13,513500,标普500ETF,2.023,2.0166,1.9416,2.04,0.1873,True,False,4.5
2025-06-13,513180,恒生科技ETF,0.706,0.7136,0.7179,-5.11,-0.2212,False,False,4.5
2025-06-13,510300,沪深300ETF,3.769,3.7709,3.7384,-1.41,-0.1855,False,False,4.5
2025-06-20,518880,黄金ETF,7.436,7.4494,7.342,2.44,0.2143,False,False,3.4
2025-06-20,510880,红利ETF,2.997,2.9827,2.9495,0.79,0.1213,True,False,3.4
2025-06-20,513500,标普500ETF,2.027,2.0226,1.9483,1.82,0.1944,True,False,3.4
2025-06-20,513180,恒生科技ETF,0.691,0.7099,0.7091,-5.19,-0.2145,False,False,3.4
2025-06-20,510300,沪深300ETF,3.755,3.7652,3.7302,-1.09,-0.1452,False,False,3.4
2025-06-27,518880,黄金ETF,7.326,7.4514,7.3896,1.56,0.1301,False,False,21.3
2025-06-27,510880,红利ETF,3.011,2.9969,2.9554,1.6,0.2564,True,False,21.3
2025-06-27,513500,标普500ETF,2.091,2.0374,1.954,4.04,0.3725,True,False,21.3
2025-06-27,513180,恒生科技ETF,0.722,0.7131,0.705,-0.07,-0.0029,True,False,21.3
2025-06-27,510300,沪深300ETF,3.84,3.7856,3.7321,1.92,0.1938,True,False,21.3
2025-07-04,518880,黄金ETF,7.407,7.435,7.4211,2.04,0.1793,False,False,24.3
2025-07-04,510880,红利ETF,3.079,3.0119,2.9656,5.14,0.7497,True,False,24.3
2025-07-04,513500,标普500ETF,2.125,2.0601,1.9733,10.17,1.1148,True,False,24.3
2025-07-04,513180,恒生科技ETF,0.704,0.7145,0.7039,0.66,0.0295,False,False,24.3
2025-07-04,510300,沪深300ETF,3.909,3.815,3.7463,5.79,0.5787,True,False,24.3
2025-07-11,518880,黄金ETF,7.376,7.4098,7.4397,-1.28,-0.1203,False,False,15.7
2025-07-11,510880,红利ETF,3.107,3.04,2.9841,4.33,0.5626,True,False,15.7
2025-07-11,513500,标普500ETF,2.124,2.0812,1.9984,6.53,0.7791,True,False,15.7
2025-07-11,513180,恒生科技ETF,0.714,0.7108,0.7077,1.85,0.1028,True,False,15.7
2025-07-11,510300,沪深300ETF,3.956,3.8518,3.7742,5.35,0.5665,True,False,15.7
2025-07-18,518880,黄金ETF,7.403,7.3904,7.4293,-1.4,-0.1306,False,False,15.8
2025-07-18,510880,红利ETF,3.083,3.0649,2.9973,2.91,0.3057,True,False,15.8
2025-07-18,513500,标普500ETF,2.143,2.1044,2.0226,8.64,0.8666,True,False,15.8
2025-07-18,513180,恒生科技ETF,0.745,0.7178,0.7124,7.84,0.4892,True,False,15.8
2025-07-18,510300,沪深300ETF,4.009,3.9018,3.8005,6.47,0.7079,True,False,15.8
2025-07-25,518880,黄金ETF,7.409,7.4075,7.4167,0.36,0.0314,False,False,4.7
2025-07-25,510880,红利ETF,3.15,3.0962,3.0154,4.98,0.4659,True,False,4.7
2025-07-25,513500,标普500ETF,2.164,2.1256,2.0465,6.09,0.7572,True,False,4.7
2025-07-25,513180,恒生科技ETF,0.766,0.7298,0.7187,6.82,0.4081,True,False,4.7
2025-07-25,510300,沪深300ETF,4.08,3.9622,3.8343,6.88,0.9527,True,False,4.7
2025-08-01,518880,黄金ETF,7.352,7.4012,7.4,-1.34,-0.1281,False,False,31.5
2025-08-01,510880,红利ETF,3.065,3.1085,3.0314,0.83,0.0663,False,False,31.5
2025-08-01,513500,标普500ETF,2.172,2.1443,2.0689,4.77,0.464,True,False,31.5
2025-08-01,513180,恒生科技ETF,0.74,0.7392,0.7222,2.8,0.1528,True,False,31.5
2025-08-01,510300,沪深300ETF,4.01,4.0102,3.8658,3.12,0.2892,False,False,31.5
2025-08-08,518880,黄金ETF,7.508,7.4285,7.4131,3.21,0.3284,True,False,32.2
2025-08-08,510880,红利ETF,3.135,3.112,3.0445,2.46,0.1971,True,False,32.2
2025-08-08,513500,标普500ETF,2.174,2.1572,2.085,3.82,0.2971,True,False,32.2
2025-08-08,513180,恒生科技ETF,0.738,0.7482,0.7242,2.33,0.1299,False,False,32.2
2025-08-08,510300,沪深300ETF,4.06,4.0429,3.8885,3.62,0.344,True,False,32.2
2025-08-15,518880,黄金ETF,7.401,7.428,7.4226,-0.5,-0.0491,False,False,33.8
2025-08-15,510880,红利ETF,3.088,3.117,3.0548,0.58,0.0484,False,False,33.8
2025-08-15,513500,标普500ETF,2.217,2.176,2.101,5.56,0.471,True,False,33.8
2025-08-15,513180,恒生科技ETF,0.754,0.7525,0.7267,2.81,0.1464,True,False,33.8
2025-08-15,510300,沪深300ETF,4.172,4.0821,3.9164,5.47,0.5053,True,False,33.8
2025-08-22,518880,黄金ETF,7.378,7.4104,7.4231,0.05,0.007,False,False,53.3
2025-08-22,510880,红利ETF,3.11,3.1042,3.0658,0.97,0.094,True,False,53.3
2025-08-22,513500,标普500ETF,2.17,2.1861,2.1163,1.75,0.1411,False,False,53.3
2025-08-22,513180,恒生科技ETF,0.761,0.7503,0.7311,1.74,0.0963,True,False,53.3
2025-08-22,510300,沪深300ETF,4.356,4.1255,3.9578,9.07,0.671,True,False,53.3
2025-08-29,518880,黄金ETF,7.486,7.4329,7.423,1.22,0.167,True,False,64.2
2025-08-29,510880,红利ETF,3.046,3.1014,3.074,-0.07,-0.0069,False,False,64.2
2025-08-29,513500,标普500ETF,2.195,2.1892,2.1312,3.29,0.2783,True,False,64.2
2025-08-29,513180,恒生科技ETF,0.773,0.7572,0.737,4.93,0.2128,True,False,64.2
2025-08-29,510300,沪深300ETF,4.478,4.2142,4.0131,11.98,0.8063,True,False,64.2
2025-09-05,518880,黄金ETF,7.775,7.4954,7.4446,3.29,0.3147,True,False,81.2
2025-09-05,510880,红利ETF,3.019,3.0786,3.0769,-1.66,-0.163,False,False,81.2
2025-09-05,513500,标普500ETF,2.204,2.1934,2.1439,3.46,0.3636,True,False,81.2
2025-09-05,513180,恒生科技ETF,0.771,0.7634,0.7408,4.95,0.1915,True,False,81.2
2025-09-05,510300,沪深300ETF,4.431,4.3072,4.0673,9.63,0.493,True,False,81.2
2025-09-12,518880,黄金ETF,7.954,7.6239,7.4808,6.29,0.6009,True,False,82.9
2025-09-12,510880,红利ETF,3.016,3.0575,3.0798,-1.0,-0.1038,False,False,82.9
2025-09-12,513500,标普500ETF,2.222,2.1949,2.1584,3.16,0.359,True,False,82.9
2025-09-12,513180,恒生科技ETF,0.809,0.775,0.7484,9.76,0.3959,True,False,82.9
2025-09-12,510300,沪深300ETF,4.498,4.3901,4.1247,10.15,0.4627,True,False,82.9
2025-09-19,518880,黄金ETF,7.898,7.7607,7.5262,5.73,0.4448,True,False,79.5
2025-09-19,510880,红利ETF,2.97,3.0298,3.0767,-2.96,-0.2662,False,False,79.5
2025-09-19,513500,标普500ETF,2.252,2.2075,2.173,4.47,0.5553,True,False,79.5
2025-09-19,513180,恒生科技ETF,0.846,0.7952,0.7584,11.65,0.2151,True,True,79.5
2025-09-19,510300,沪深300ETF,4.481,4.4524,4.1801,6.37,0.3065,True,False,79.5
2025-09-26,518880,黄金ETF,8.16,7.9311,7.5884,8.22,0.5627,True,False,74.5
2025-09-26,510880,红利ETF,2.955,2.9978,3.0693,-2.8,-0.2792,False,False,74.5
2025-09-26,513500,标普500ETF,2.265,2.2268,2.1868,3.69,0.5148,True,False,74.5
2025-09-26,513180,恒生科技ETF,0.851,0.8132,0.7699,11.43,0.4559,True,False,74.5
2025-09-26,510300,沪深300ETF,4.528,4.4779,4.2341,5.52,0.3077,True,False,74.5
2025-10-03,518880,黄金ETF,8.339,7.9951,7.6191,8.66,0.6352,True,False,76.6
2025-10-03,510880,红利ETF,2.939,2.9888,3.0644,-3.29,-0.3411,False,False,76.6
2025-10-03,513500,标普500ETF,2.284,2.2365,2.1922,4.49,0.6391,True,False,76.6
2025-10-03,513180,恒生科技ETF,0.876,0.8219,0.7751,14.15,0.2818,True,True,76.6
2025-10-03,510300,沪深300ETF,4.618,4.491,4.2575,7.52,0.4029,True,False,76.6
2025-10-10,518880,黄金ETF,8.602,8.0858,7.6632,11.63,0.5457,True,False,71.5
2025-10-10,510880,红利ETF,2.993,2.9845,3.0598,-1.62,-0.1601,False,False,71.5
2025-10-10,513500,标普500ETF,2.329,2.2507,2.1991,6.66,0.8117,True,False,71.5
2025-10-10,513180,恒生科技ETF,0.849,0.8321,0.7803,11.98,0.455,True,False,71.5
2025-10-10,510300,沪深300ETF,4.596,4.5175,4.2813,8.12,0.4315,True,False,71.5
2025-10-17,518880,黄金ETF,9.568,8.4046,7.8096,21.43,0.8589,True,False,70.8
2025-10-17,510880,红利ETF,3.086,2.9932,3.057,1.69,0.1277,False,False,70.8
2025-10-17,513500,标普500ETF,2.263,2.2697,2.2122,2.49,0.1954,False,False,70.8
2025-10-17,513180,恒生科技ETF,0.785,0.8379,0.7874,-0.66,-0.0204,False,False,70.8
2025-10-17,510300,沪深300ETF,4.501,4.5452,4.331,3.13,0.1788,False,False,70.8
2025-10-24,518880,黄金ETF,8.95,8.7076,7.9514,11.79,0.3489,True,False,73.1
2025-10-24,510880,红利ETF,3.116,3.0239,3.0556,2.5,0.2189,False,False,73.1
2025-10-24,513500,标普500ETF,2.36,2.297,2.2287,6.4,0.4156,True,False,73.1
2025-10-24,513180,恒生科技ETF,0.818,0.8332,0.7916,0.92,0.0294,False,False,73.1
2025-10-24,510300,沪深300ETF,4.647,4.5657,4.3745,6.6,0.3729,True,False,73.1
2025-10-31,518880,黄金ETF,8.794,8.8714,8.065,9.52,0.26,False,False,79.7
2025-10-31,510880,红利ETF,3.097,3.062,3.0556,2.58,0.2357,True,False,79.7
2025-10-31,513500,标普500ETF,2.454,2.3406,2.2507,8.28,0.4623,True,False,79.7
2025-10-31,513180,恒生科技ETF,0.802,0.826,0.797,-1.56,-0.0495,False,False,79.7
2025-10-31,510300,沪深300ETF,4.633,4.609,4.425,5.08,0.2596,True,False,79.7
2025-11-07,518880,黄金ETF,8.793,8.9563,8.1747,6.36,0.1968,False,False,66.2
2025-11-07,510880,红利ETF,3.188,3.1152,3.0614,4.34,0.3932,True,False,66.2
2025-11-07,513500,标普500ETF,2.384,2.3694,2.2707,3.51,0.1688,True,False,66.2
2025-11-07,513180,恒生科技ETF,0.79,0.809,0.8009,-2.17,-0.0725,False,False,66.2
2025-11-07,510300,沪深300ETF,4.672,4.6176,4.4746,5.43,0.3257,True,False,66.2
2025-11-14,518880,黄金ETF,9.096,8.9295,8.3101,4.98,0.1808,True,False,59.5
2025-11-14,510880,红利ETF,3.205,3.1528,3.069,3.11,0.3569,True,False,59.5
2025-11-14,513500,标普500ETF,2.448,2.4123,2.2922,7.96,0.3885,True,False,59.5
2025-11-14,513180,恒生科技ETF,0.786,0.8061,0.8054,1.28,0.0494,False,False,59.5
2025-11-14,510300,沪深300ETF,4.618,4.6426,4.5205,4.59,0.3035,False,False,59.5
2025-11-21,518880,黄金ETF,8.828,8.8566,8.4329,4.55,0.2074,False,False,60.0
2025-11-21,510880,红利ETF,3.112,3.1616,3.0741,-0.65,-0.0588,False,False,60.0
2025-11-21,513500,标普500ETF,2.355,2.4259,2.3088,1.5,0.0607,False,False,60.0
2025-11-21,513180,恒生科技ETF,0.733,0.7918,0.8053,-7.07,-0.3067,False,False,60.0
2025-11-21,510300,沪深300ETF,4.441,4.6327,4.5482,-1.67,-0.104,False,False,60.0
2025-11-28,518880,黄金ETF,9.067,8.9192,8.5626,8.52,0.4752,True,False,49.5
2025-11-28,510880,红利ETF,3.087,3.1556,3.0733,-0.08,-0.0069,False,False,49.5
2025-11-28,513500,标普500ETF,2.463,2.4212,2.3284,4.78,0.1983,True,False,49.5
2025-11-28,513180,恒生科技ETF,0.753,0.7746,0.8033,-3.06,-0.1429,False,False,49.5
2025-11-28,510300,沪深300ETF,4.512,4.5811,4.5552,-0.47,-0.0329,False,False,49.5
2025-12-05,518880,黄金ETF,9.136,9.0083,8.6834,7.47,0.4101,True,False,48.6
2025-12-05,510880,红利ETF,3.083,3.1362,3.0786,-1.14,-0.1183,False,False,48.6
2025-12-05,513500,标普500ETF,2.451,2.4336,2.3512,4.9,0.2281,True,False,48.6
2025-12-05,513180,恒生科技ETF,0.762,0.7645,0.8019,-1.17,-0.0575,False,False,48.6
2025-12-05,510300,沪深300ETF,4.575,4.5574,4.5642,0.92,0.0648,False,False,48.6
2025-12-12,518880,黄金ETF,9.227,9.0228,8.7856,5.86,0.3589,True,False,39.5
2025-12-12,510880,红利ETF,2.999,3.0908,3.0789,-4.08,-0.4577,False,False,39.5
2025-12-12,513500,标普500ETF,2.453,2.4305,2.3708,3.42,0.1721,True,False,39.5
2025-12-12,513180,恒生科技ETF,0.754,0.7525,0.7988,-4.04,-0.2135,False,False,39.5
2025-12-12,510300,沪深300ETF,4.571,4.5382,4.5753,-0.3,-0.023,False,False,39.5
2025-12-19,518880,黄金ETF,9.313,9.1322,8.8988,8.47,0.717,True,False,32.8
2025-12-19,510880,红利ETF,3.031,3.0574,3.0809,-0.3,-0.0338,False,False,32.8
2025-12-19,513500,标普500ETF,2.451,2.4405,2.3878,4.83,0.3685,True,False,32.8
2025-12-19,513180,恒生科技ETF,0.733,0.746,0.7904,-4.5,-0.2178,False,False,32.8
2025-12-19,510300,沪深300ETF,4.565,4.5388,4.5791,2.0,0.1697,False,False,32.8
