date,code,name,close,ma20,momentum,trend_up,selected
2024-06-14,513500,标普500ETF,1.903,1.8503,2.86,True,True
2024-06-14,513180,恒生科技ETF,0.508,0.5218,-7.64,False,False
2024-06-14,510300,沪深300ETF,3.343,3.3962,-2.37,False,False
2024-06-21,518880,黄金ETF,5.376,5.3212,0.19,True,True
2024-06-21,510880,红利ETF,2.914,2.9499,-1.49,False,False
2024-06-21,513500,标普500ETF,1.914,1.8667,3.52,True,True
2024-06-21,513180,恒生科技ETF,0.508,0.5132,-4.33,False,False
2024-06-21,510300,沪深300ETF,3.305,3.3626,-3.7,False,False
2024-06-28,518880,黄金ETF,5.297,5.3074,-0.38,False,False
2024-06-28,510880,红利ETF,2.916,2.9254,-2.18,False,False
2024-06-28,513500,标普500ETF,1.971,1.8939,9.14,True,True
2024-06-28,513180,恒生科技ETF,0.489,0.5081,-3.93,False,False
2024-06-28,510300,沪深300ETF,3.276,3.3323,-3.22,False,False
2024-07-05,518880,黄金ETF,5.381,5.3066,-0.31,True,True
2024-07-05,510880,红利ETF,2.933,2.9264,-0.54,True,False
2024-07-05,513500,标普500ETF,1.993,1.9292,6.41,True,True
2024-07-05,513180,恒生科技ETF,0.495,0.5024,-4.81,False,False
2024-07-05,510300,沪深300ETF,3.247,3.3043,-4.16,False,False
2024-07-12,518880,黄金ETF,5.446,5.3347,3.32,True,True
2024-07-12,510880,红利ETF,2.873,2.9151,-2.21,False,False
2024-07-12,513500,标普500ETF,1.974,1.9534,3.73,True,True
2024-07-12,513180,恒生科技ETF,0.516,0.5,1.57,True,False
2024-07-12,510300,沪深300ETF,3.308,3.286,-1.05,True,False
2024-07-19,518880,黄金ETF,5.425,5.381,0.91,True,True
2024-07-19,510880,红利ETF,2.865,2.9111,-1.68,False,False
2024-07-19,513500,标普500ETF,1.979,1.9822,3.4,False,False
2024-07-19,513180,恒生科技ETF,0.491,0.497,-3.35,False,False
2024-07-19,510300,沪深300ETF,3.389,3.2924,2.54,True,True
2024-07-26,518880,黄金ETF,5.35,5.4088,1.0,False,False
2024-07-26,510880,红利ETF,2.782,2.8902,-4.6,False,False
2024-07-26,513500,标普500ETF,1.927,1.986,-2.23,False,False
2024-07-26,513180,恒生科技ETF,0.475,0.4936,-2.86,False,False
